"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","105","renders search icon","test/src/features/home/home_page_test.dart","2026-04-01","passed","2026-04-01","","HomePage","",""
"","3","throws on error","test/src/data/repositories/event_repository_test.dart","2026-04-01","passed","2026-04-01","getMyPurchaseHistory","EventRepository","",""
"","3","returns null when not authenticated","test/src/data/repositories/auth_repository_test.dart","2026-04-01","passed","2026-04-01","currentUser","AuthRepository","",""
"","125","바텀시트에서 이벤트 선택 시 onEventTap 콜백 호출","test/src/features/home/widgets/event_now_multi_stack_test.dart","2026-04-01","passed","2026-04-01","","EventNowMultiStack — 위젯","",""
"","28","renders custom icon","test/src/ui/widgets/common/minglit_error_state_test.dart","2026-04-01","passed","2026-04-01","","MinglitErrorState","",""
"","25","succeeds when ticket and user are present","test/src/features/event/admission/event_application_controller_test.dart","2026-04-01","passed","2026-04-01","submitApplication","EventApplicationController","",""
"","4","returns null when not found","test/src/data/repositories/location_repository_test.dart","2026-04-01","passed","2026-04-01","getLocationById","LocationRepository","",""
"","63","Phase 3: renders MatchingVoteContent when state is matching","test/src/features/home/widgets/event_now_bottom_sheet_test.dart","2026-04-01","passed","2026-04-01","","EventNowBottomSheet","",""
"","24","auth change with null email does not save staff token","test/src/features/auth/ui/staff_guard_wrapper_test.dart","2026-04-01","passed","2026-04-01","","StaffGuardWrapper","",""
"","3","maps email not confirmed message","test/src/utils/exceptions_test.dart","2026-04-01","passed","2026-04-01","","MinglitException.from","",""
"","4","pushLogin pushes login route","test/src/features/event/logic/event_coordinator_test.dart","2026-04-01","passed","2026-04-01","","EventCoordinator","",""
"","11","updates existing application when one exists","test/src/data/repositories/event_repository_commands_test.dart","2026-04-01","passed","2026-04-01","createOrder","EventRepository Commands","",""
"","1096","renders notification bell icon when logged in","test/src/features/home/home_page_test.dart","2026-04-01","passed","2026-04-01","","HomePage","",""
"","48","renders with icon","test/src/ui/widgets/common/minglit_tag_test.dart","2026-04-01","passed","2026-04-01","","MinglitTag","",""
"","29","(setUpAll)","test/integration/flow_error_edge_cases_test.dart","2026-04-01","passed","2026-04-01","","","",""
"","5","returns empty list when no verifications","test/src/data/repositories/verification_query_repository_test.dart","2026-04-01","passed","2026-04-01","getPartnerVerifications","VerificationRepository","",""
"","12","throws MinglitUserException when quantity < sold_count","test/src/data/repositories/ticket_repository_test.dart","2026-04-01","passed","2026-04-01","updateTicket","TicketRepository","",""
"","31","creates from JSON","test/src/data/models/social_interaction_test.dart","2026-04-01","passed","2026-04-01","","SocialInteraction","",""
"","16","서명 검증 실패","test/minglit_kit_test.dart","2026-04-01","passed","2026-04-01","","TicketCrypto","",""
"","10","sorts by nearby distance when nearbyEnabled","test/src/features/explore/providers/explore_filter_integration_test.dart","2026-04-01","passed","2026-04-01","","filteredEventsProvider","",""
